场景,分组,策略,Precision@K,Recall@K,F1@K,NDCG@K,ILD,ARPL,有效推荐率,平均列表长度,冷启动物品召回率
用户冷启动,0,Random,0.0,0.0,0.0,0.0,0.856402,0.389171,1.0,10.0,
用户冷启动,0,Popular,0.0,0.0,0.0,0.0,0.809206,1.9e-05,1.0,10.0,
用户冷启动,0,Genre,0.0,0.0,0.0,0.0,0.802751,0.033582,1.0,10.0,
用户冷启动,0,Qdrant,0.0,0.0,0.0,0.0,0.607407,0.195045,1.0,10.0,
用户冷启动,1-3,Random,0.0,0.0,0.0,0.0,0.867671,0.328469,1.0,10.0,
用户冷启动,1-3,Popular,0.0,0.0,0.0,0.0,0.809206,1.9e-05,1.0,10.0,
用户冷启动,1-3,Genre,0.0,0.0,0.0,0.0,0.473657,0.04839,1.0,10.0,
用户冷启动,1-3,Qdrant,0.0,0.0,0.0,0.0,0.708727,0.35098,1.0,10.0,
用户冷启动,4-10,Random,0.0,0.0,0.0,0.0,0.864603,0.40787,1.0,10.0,
用户冷启动,4-10,Popular,0.017391,0.173913,0.031621,0.087879,0.802935,1.9e-05,1.0,10.0,
用户冷启动,4-10,Genre,0.0,0.0,0.0,0.0,0.380527,0.188097,1.0,10.0,
用户冷启动,4-10,Qdrant,0.0,0.0,0.0,0.0,0.644573,0.323784,1.0,10.0,
用户冷启动,11-50,Random,0.0,0.0,0.0,0.0,0.860488,0.420371,1.0,10.0,
用户冷启动,11-50,Popular,0.040306,0.095094,0.053908,0.08042,0.794516,1.9e-05,1.0,10.0,
用户冷启动,11-50,Genre,0.002551,0.005547,0.003263,0.004353,0.401839,0.20728,1.0,10.0,
用户冷启动,11-50,Qdrant,0.005102,0.013836,0.007118,0.014495,0.647401,0.33009,1.0,10.0,
用户冷启动,50+,Random,0.0,0.0,0.0,0.0,0.859828,0.400416,1.0,10.0,
用户冷启动,50+,Popular,0.1665,0.074176,0.091626,0.169802,0.791119,2.1e-05,1.0,10.0,
用户冷启动,50+,Genre,0.0045,0.002405,0.002936,0.004204,0.407985,0.19552,1.0,10.0,
用户冷启动,50+,Qdrant,0.009,0.005578,0.006391,0.012713,0.677062,0.354048,1.0,10.0,
物品冷启动,0-2,Random,0.00101,7.4e-05,0.000136,0.000587,0.870001,0.404275,1.0,10.0,0.409
物品冷启动,0-2,Popular,0.262121,0.048298,0.058694,0.239709,0.798258,2.2e-05,1.0,10.0,0.0
物品冷启动,0-2,Genre,0.003535,0.000717,0.00114,0.00226,0.416603,0.194956,1.0,10.0,0.166
物品冷启动,0-2,Qdrant,0.013131,0.006191,0.006045,0.017132,0.667472,0.389848,1.0,10.0,0.261
物品冷启动,3-10,Random,0.0005,8.5e-05,0.000145,0.000382,0.867702,0.419357,1.0,10.0,0.2675
物品冷启动,3-10,Popular,0.2255,0.049266,0.064706,0.200029,0.797974,2.2e-05,1.0,10.0,0.0
物品冷启动,3-10,Genre,0.004,0.000536,0.000923,0.002058,0.413136,0.193967,1.0,10.0,0.244
物品冷启动,3-10,Qdrant,0.0105,0.004081,0.004788,0.014136,0.665249,0.388061,1.0,10.0,0.2075
物品冷启动,10+,Random,0.000508,0.000154,0.000236,0.000282,0.868352,0.401477,1.0,10.0,0.346
物品冷启动,10+,Popular,0.128934,0.088034,0.083692,0.145852,0.793441,2.1e-05,1.0,10.0,1.0
物品冷启动,10+,Genre,0.005076,0.005571,0.004123,0.005824,0.399241,0.196913,1.0,10.0,0.5865
物品冷启动,10+,Qdrant,0.008629,0.00942,0.007591,0.015298,0.658165,0.342018,1.0,10.0,0.4755
